category,question,choice_a,choice_b,choice_c,choice_d,answer,source
Project Udaan & CFA Structure,The Head of Sales & Distribution for Consumer Fixed Access in the Circle is responsible for:,Managing customer service,Planning network assets,"Driving growth of LL, BB, IPTV, PCO, and related VAS revenues",Implementation of revenue management policies,C,"pdf3, Project Udaan and CFA Structure (para 926)"
Project Udaan & CFA Structure,What does the Head of Network Operations for Consumer Fixed Access at Circle manage?,Customer service,Maintenance of network assets,Planning network assets,Transmission network,B,"pdf3, Project Udaan and CFA Structure (para 929)"
Project Udaan & CFA Structure,"Which officer is responsible for the conceptualization and implementation of projects specific to the CFA business unit, with emphasis on the CDR project?",GM (IT) – CFA at Corporate Office,Head of Consumer Fixed Access at Circle,Head of Network Planning for Consumer Fixed Access,GM (Network Operations) – CFA at Corporate Office,A,"pdf3, Project Udaan and CFA Structure (para 933)"
Project Udaan & CFA Structure,The GM (Rural Network) – CFA at Corporate Office is involved in:,Designing network assets,Maintenance and operations of network assets,Planning and executing projects for rural network expansion,Evaluation and approval of tariff & costing policies,C,"pdf3, Project Udaan and CFA Structure (para 937)"
Project Udaan & CFA Structure,What is the main objective of Project UDAAN?,Expand mobile customer base,Strengthen landline business and increase broadband customer base,Reduce churn of mobile subscribers,Enhance 4G network coverage,B,"pdf3, Project Udaan and CFA Structure (para 946)"
Project Udaan & CFA Structure,Why is there a need for special care of the landline business according to the document?,Mobile services are more profitable,Landline services have become obsolete,"Poor customer service, un-economical tariffs, and increased mobile penetration",There is no potential for wired broadband,C,"pdf3, Project Udaan and CFA Structure (para 949)"
Project Udaan & CFA Structure,What are the three primary reasons identified for the decline in the landline customer base?,"Poor network coverage, high tariffs, and lack of mobile penetration","Poor customer service, un-economical landline tariff, and increased mobile penetration","Lack of technological advancements, high tariffs, and low broadband speeds","Limited service offerings, lack of marketing, and weak customer support",B,"pdf3, Project Udaan and CFA Structure (para 952)"
Project Udaan & CFA Structure,What is one of the initiatives mentioned to connect more homes through fixed line service?,Aggressive promotion of mobile data services,Partnership for Bharat Fiber and Bharat Air Fiber in each town,Reduction of tariffs for landline services,Discontinuation of landline services,B,"pdf3, Project Udaan and CFA Structure (para 956)"
Project Udaan & CFA Structure,"As part of the UDAAN approach, what is the purpose of a feasibility check before collecting documents for a landline connection?",To assess the financial status of the customer,To ensure the customer has no outstanding bills,To check if the landline connection is technically feasible in the area,To verify the identity of the customer,C,"pdf3, Project Udaan and CFA Structure (para 959)"
Project Udaan & CFA Structure,What role does the Cables Team play in the UDAAN process?,Marketing landline services to potential customers,Monitoring and resolving issues between Sales and Outdoor teams,Conducting feasibility checks for new landline connections,Maintaining records of non-feasible cases and assisting in making them feasible,D,"pdf3, Project Udaan and CFA Structure (para 963)"
Project Udaan & CFA Structure,"According to the document, what are the key priorities for increasing fixed access business in BSNL?",Efficient sales reporting and network expansion,"Better marketing and product management, efficient sales & distribution mechanisms, faster service provisioning, and grievance redressal",Reducing tariffs and increasing mobile penetration,Investing in 5G technology and discontinuing landline services,B,"pdf3, Project Udaan and CFA Structure (para 967)"
Project Udaan & CFA Structure,What is the purpose of the SD/SA team within the Service Delivery & Service Assurance Processes?,To analyze customer billing,To monitor and resolve issues related to service delivery,To manage sales and distribution channels,To design new products and pricing structures,B,"pdf3, Project Udaan and CFA Structure (para 971)"
Project Udaan & CFA Structure,What is the current market share of BSNL in landline services as of 31.12.2020?,45.2%,35.75%,25%,55.5%,B,"pdf3, Project Udaan and CFA Structure (para 975)"
Project Udaan & CFA Structure,What is the main focus of UDAAN's Customer Segmentation process?,Identifying potential competitors,Creating discrete segments of customers based on their usage profile,Analyzing network feasibility,Implementing mobile towers in rural areas,B,"pdf3, Project Udaan and CFA Structure (para 978)"
Project Udaan & CFA Structure,"What is the significance of marking Obs (Orders) booked against feasible tickets with a special flag ""Udaan""?",They receive priority for outdoor installation,They skip the feasibility check and move directly to outdoor installation,They are excluded from the Udaan project,They undergo a more rigorous inspection process Strengthened Monitoring System:,B,"pdf3, Project Udaan and CFA Structure (para 985)"
Project Udaan & CFA Structure,What is one improvement in the monitoring system mentioned as a part of Project Udaan?,No detailed database for leads received,No mechanism to follow-up and track status of leads,Consolidated database for leads from all channels,"Monitoring system, Admn. Report by Team Leaders, and SMS generation not available",C,"pdf3, Project Udaan and CFA Structure (para 989)"
Project Udaan & CFA Structure,"What is a key enhancement mentioned in the ""Post Udaan"" column in the comparison table?",No structured process to capture leads and contact potential subscribers at their doorstep,Web-based IT Tool allows capture and tracking the status of leads,No detailed database for leads received at BB / Call Centre / SMS / website,Feasibility verified after OB generation,B,"pdf3, Project Udaan and CFA Structure (para 993)"
Project Udaan & CFA Structure,What is the primary purpose of the lead management software developed by ITPC Pune for Project Udaan?,Outdoor installation tracking,Distribution of physical bills to customers,"Creation, distribution, and management of leads",Monitoring feasibility for new connections,C,"pdf3, Project Udaan and CFA Structure (para 999)"
Project Udaan & CFA Structure,Which of the following roles is NOT mentioned as part of the User roles in the WINGS software?,Project Managers,Sales team leaders,Customer Service Representatives,Sales associates,C,"pdf3, Project Udaan and CFA Structure (para 1004)"
Project Udaan & CFA Structure,"According to the document, what percentage of the market share does BSNL currently have in Fixed Access?",35%,46%,75%,50%,C,"pdf3, Project Udaan and CFA Structure (para 1010)"
Project Udaan & CFA Structure,What is emphasized as crucial for the success of Project Udaan in the conclusion?,Expansion of mobile broadband,Wired broadband market expansion,Reduction of operational costs,Exclusion of wireless broadband,B,"pdf3, Project Udaan and CFA Structure (para 1015)"
CM Technology Overview - GSM/3G,What does MS stand for in the context of GSM technology?,Mobile Service,Mobile Subsystem,Mobile Station,Management System,C,"pdf3, CM Technology Overview (GSM3G) (para 1027)"
CM Technology Overview - GSM/3G,What is the unique identity number for each handset called?,IMSI,SIM,MSISDN,IMEI,D,"pdf3, CM Technology Overview (GSM3G) (para 1032)"
CM Technology Overview - GSM/3G,What is the primary function of the Subscriber Identity Module (SIM)?,Hardware for accessing the network,Radio communication,Identification of the mobile subscriber,Operation and maintenance of GSM equipment,C,"pdf3, CM Technology Overview (GSM3G) (para 1037)"
CM Technology Overview - GSM/3G,Which part of the Mobile Station contains the hardware used by the subscriber to access the network?,Subscriber Identity Module (SIM),International Mobile Subscribers Identity (IMSI),Mobile Equipment (ME),Temporary Mobile Subscriber Identity (TMSI),C,"pdf3, CM Technology Overview (GSM3G) (para 1043)"
CM Technology Overview - GSM/3G,What is the purpose of the International Mobile Subscribers Identity (IMSI) on the SIM card?,Protects against reading and alterations,Identifies the current location of the subscriber,Used to authenticate the SIM card,Identifies the mobile subscriber,A,"pdf3, CM Technology Overview (GSM3G) (para 1048)"
CM Technology Overview - GSM/3G,What does BSS stand for in the context of GSM technology?,Base Site System,Base Service Subsystem,Base Station Sub-System,Base Subscriber System,C,"pdf3, CM Technology Overview (GSM3G) (para 1054)"
CM Technology Overview - GSM/3G,Which Network Element (NE) in the BSS supports call processing functions and interfaces to the Mobile Switching Center (MSC)?,Base Transceiver Station (BTS),Transcoder (XCDR),Base Station Controller (BSC),Remote Transcoder (RXCDR),C,"pdf3, CM Technology Overview (GSM3G) (para 1059)"
CM Technology Overview - GSM/3G,What is the digital communication link between the BSS and the Mobile Station (MS) known as?,Air Interface,Radio Path,Subscriber Interface,Network Interface,A,"pdf3, CM Technology Overview (GSM3G) (para 1064)"
CM Technology Overview - GSM/3G,What is the primary function of the Base Transceiver Station (BTS)?,Control functionality,Speech transcoding,Radio coverage,Operations and Maintenance,C,"pdf3, CM Technology Overview (GSM3G) (para 1074)"
CM Technology Overview - GSM/3G,What does RF stand for in the context of the BTS?,Radio Frequency,Remote Functionality,Radio Form,Robotic Features,A,"pdf3, CM Technology Overview (GSM3G) (para 1079)"
CM Technology Overview - GSM/3G,What is the communication link between Mobile Stations (MSs) and the Base Station Sub-System (BSS) called?,Radio Path,Subscriber Link,Network Interface,Air Interface,D,"pdf3, CM Technology Overview (GSM3G) (para 1084)"
CM Technology Overview - GSM/3G,What is the main purpose of the Base Station Controller (BSC)?,Radio channel management,Speech transcoding,Control and management of BTSs,Operations and Maintenance,C,"pdf3, CM Technology Overview (GSM3G) (para 1091)"
CM Technology Overview - GSM/3G,Which of the following is a function provided by the BSC?,Mobile Equipment control,Subscriber database management,Teleservices provision,Air Interface management,B,"pdf3, CM Technology Overview (GSM3G) (para 1096)"
CM Technology Overview - GSM/3G,What is the primary purpose of the speech transcoder in GSM technology?,Increasing radio bandwidth,Reducing information on the Air Interface,Enhancing call processing,Multiplexing radio channels,B,"pdf3, CM Technology Overview (GSM3G) (para 1102)"
CM Technology Overview - GSM/3G,Where is the transcoder located when it is between the Mobile Switching Centre (MSC) and the Base Station Controller (BSC)?,Main Transcoder,Remote Transcoder (RXCDR),Land Transcoder,Radio Transcoder,B,"pdf3, CM Technology Overview (GSM3G) (para 1107)"
CM Technology Overview - GSM/3G,What does NSS stand for in the context of GSM technology?,Network Service Subsystem,Network Switching Subsystem,Network Subscriber System,Network Switch Service,B,"pdf3, CM Technology Overview (GSM3G) (para 1113)"
CM Technology Overview - GSM/3G,What is the primary function of the Mobile Switching Centre (MSC)?,Speech transcoding,Radio channel management,Setting up calls to and from GSM users,Operations and Maintenance support,C,"pdf3, CM Technology Overview (GSM3G) (para 1118)"
CM Technology Overview - GSM/3G,What is stored in the Home Location Register (HLR)?,Mobile status,Subscriber database,Equipment identity,Call processing information,B,"pdf3, CM Technology Overview (GSM3G) (para 1124)"
CM Technology Overview - GSM/3G,What is the primary function of the Operation and Maintenance Centre (OMC) in a telecom network?,Mobile equipment control,Speech transcoding,Network monitoring and control,Call processing,C,"pdf3, CM Technology Overview (GSM3G) (para 1133)"
CM Technology Overview - GSM/3G,What is one of the main functions performed by the OMC?,Speech transcoding,Network element removal and restoration,GPRS architecture modifications,Location area identity management,B,"pdf3, CM Technology Overview (GSM3G) (para 1138)"
CM Technology Overview - GSM/3G,What is GPRS primarily used for in a mobile network?,Voice calls,Data communication,SMS messaging,Speech transcoding,B,"pdf3, CM Technology Overview (GSM3G) (para 1144)"
CM Technology Overview - GSM/3G,Which network elements are introduced in GPRS architecture that were not present in GSM?,BSC and BTS,SGSN and GGSN,MSC and HLR,Transcoder (XCDR),B,"pdf3, CM Technology Overview (GSM3G) (para 1149)"
CM Technology Overview - GSM/3G,What does WCDMA stand for in the context of 3G technology?,Wireless Circuit Division Multiple Access,Wide Band – Code Division Multiple Access,Wireless Communication Data Management,Wideband Circuit Data Access,B,"pdf3, CM Technology Overview (GSM3G) (para 1155)"
CM Technology Overview - GSM/3G,What are the main functionalities of the RNC (Radio Network Controller) in WCDMA?,Transceiver management and power control,Circuit Switched data support,Radio resource management and mobility control,Location area identity management,C,"pdf3, CM Technology Overview (GSM3G) (para 1160)"
CM Technology Overview - GSM/3G,What is the main reason mentioned for the migration from 3G to newer technologies like 4G and 5G?,Insufficient radio network design,Lack of CDMA in 3G,High data rates in 3G,Increased demand for data on mobile,D,"pdf3, CM Technology Overview (GSM3G) (para 1166)"
CM Technology Overview - 4G/5G,What is the main focus of 1G (First Generation) mobile communication networks?,Data and voice services,Only mobile voice services,Packet-switched data services,IP Multimedia Subsystem (IMS),B,"pdf3, CM Technology Overview 4G-5G (para 1175)"
CM Technology Overview - 4G/5G,Which generation of mobile communication introduced digital technology and made data delivery possible?,1G,2G,3G,4G,B,"pdf3, CM Technology Overview 4G-5G (para 1181)"
CM Technology Overview - 4G/5G,What is the primary purpose of GPRS (General Packet Radio Service)?,Voice services,Analog communication,Circuit-switched data services,Packet-switched data services,D,"pdf3, CM Technology Overview 4G-5G (para 1187)"
CM Technology Overview - 4G/5G,Which standardization phase of GPRS introduced enhanced QoS support and point-to-multipoint connections?,GPRS Phase 1,GPRS Phase 2,GSM Release '97,GSM Release 99,B,"pdf3, CM Technology Overview 4G-5G (para 1193)"
CM Technology Overview - 4G/5G,What is a key advantage of GPRS for users?,Charging based on time connected,Low transmission speeds,Instant access to data as if connected to an office LAN,Limited network roll-out with minimum investment,C,"pdf3, CM Technology Overview 4G-5G (para 1199)"
CM Technology Overview - 4G/5G,In which generation of mobile communication was IP Multimedia Subsystem (IMS) introduced?,3G,4G,5G,2G,B,"pdf3, CM Technology Overview 4G-5G (para 1205)"
CM Technology Overview - 4G/5G,What is the main advantage for operators in implementing GPRS?,Slow network roll-out with minimum investment,Excess voice capacity used for GPRS data,Limited support for 3G services,Charging based on time connected,B,"pdf3, CM Technology Overview 4G-5G (para 1211)"
CM Technology Overview - 4G/5G,How does packet switching differ from circuit switching?,Packet switching reserves resources for the complete duration of the call,Circuit switching divides data into packets for transmission,Packet switching sends data in packets through the network,Circuit switching is more efficient for bursty Internet/intranet traffic,C,"pdf3, CM Technology Overview 4G-5G (para 1217)"
CM Technology Overview - 4G/5G,Which network element is considered the gateway to external networks in a GPRS system?,Packet Control Unit (PCU),Serving GPRS Support Node (SGSN),Gateway GPRS Support Node (GGSN),Channel Codec Unit (CCU),C,"pdf3, CM Technology Overview 4G-5G (para 1222)"
CM Technology Overview - 4G/5G,What is the primary function of the Packet Control Unit (PCU) in a GPRS network?,Routing data to the correct external network,Separating circuit-switched and packet-switched traffic,Performing channel coding in the BTS,Handling authentication of GPRS users,B,"pdf3, CM Technology Overview 4G-5G (para 1228)"
CM Technology Overview - 4G/5G,Which GPRS network element is equivalent to the MSC in a GSM network and performs functions like protocol conversion and mobility management?,Packet Control Unit (PCU),Channel Codec Unit (CCU),Serving GPRS Support Node (SGSN),Gateway GPRS Support Node (GGSN),C,"pdf3, CM Technology Overview 4G-5G (para 1234)"
CM Technology Overview - 4G/5G,What is the primary role of the Gateway GPRS Support Node (GGSN) in a GPRS network?,Separating circuit-switched and packet-switched traffic,Handling authentication of GPRS users,Routing mobile-destined packets to relevant SGSN,Acting as the anchor point in a GPRS data connection,D,"pdf3, CM Technology Overview 4G-5G (para 1240)"
CM Technology Overview - 4G/5G,Which technology is currently being used to interconnect the Packet Control Unit (PCU) to the GPRS core in a GPRS network?,Ethernet,Frame Relay,ATM (Asynchronous Transfer Mode),MPLS (Multiprotocol Label Switching),B,"pdf3, CM Technology Overview 4G-5G (para 1246)"
CM Technology Overview - 4G/5G,What is EDGE (Enhanced Data Rate for Global Evolution) in the context of mobile communication?,A GSM technology providing data transmission at 384 Kbps,The successor to 4G technology,A network element in UMTS,A satellite-based communication system,A,"pdf3, CM Technology Overview 4G-5G (para 1251)"
CM Technology Overview - 4G/5G,How does EDGE differ from GPRS in terms of data speed and throughput capacity?,EDGE has lower data speed and throughput capacity,EDGE has similar data speed and throughput capacity,EDGE has 3-4 times higher data speed and throughput capacity,GPRS is not comparable to EDGE in terms of speed,C,"pdf3, CM Technology Overview 4G-5G (para 1257)"
CM Technology Overview - 4G/5G,Which network element in a GPRS system acts as the gateway to external networks and serves as the anchor point in a GPRS data connection during roaming?,Packet Control Unit (PCU),Serving GPRS Support Node (SGSN),Gateway GPRS Support Node (GGSN),Border Gateway (BG),C,"pdf3, CM Technology Overview 4G-5G (para 1263)"
CM Technology Overview - 4G/5G,What function does the Packet Control Unit (PCU) perform in a GPRS network?,Routing mobile-destined packets,Separating circuit-switched and packet-switched traffic,Channel coding in the BTS,Authentication of GPRS users,B,"pdf3, CM Technology Overview 4G-5G (para 1269)"
CM Technology Overview - 4G/5G,"In the context of GPRS, what is the equivalent function of the Serving GPRS Support Node (SGSN) to a GSM network?",Mobile Switching Center (MSC),Home Location Register (HLR),Visitor Location Register (VLR),Base Transceiver Station (BTS),A,"pdf3, CM Technology Overview 4G-5G (para 1275)"
CM Technology Overview - 4G/5G,Which GPRS network element is responsible for routing packets originating from a mobile to the correct external network and dealing with security issues?,Packet Control Unit (PCU),Serving GPRS Support Node (SGSN),Gateway GPRS Support Node (GGSN),Border Gateway (BG),C,"pdf3, CM Technology Overview 4G-5G (para 1281)"
CM Technology Overview - 4G/5G,What is the main advantage of EDGE over GPRS in terms of data speed and throughput capacity?,EDGE has similar data speed and throughput capacity,EDGE has lower data speed and throughput capacity,EDGE has 3-4 times higher data speed and throughput capacity,GPRS is not comparable to EDGE in terms of speed,C,"pdf3, CM Technology Overview 4G-5G (para 1287)"
CM Technology Overview - 4G/5G,What is one of the main objectives of 3G systems?,Integration of wired and wireless systems,Exclusively focus on cellular services,Development of cordless technologies,Expansion of traditional paging services,A,"pdf3, CM Technology Overview 4G-5G (para 1293)"
CM Technology Overview - 4G/5G,What are the primary objectives assigned to 3G system designers?,"Voice quality, satellite services, and high terminal costs","Single network for multiple services, smarter terminals, and low costs",Exclusive focus on cordless technologies,Limited features and services,B,"pdf3, CM Technology Overview 4G-5G (para 1299)"
CM Technology Overview - 4G/5G,What is the key aim of the Long-Term Evolution (LTE) in the evolution of UMTS (Universal Mobile Telecommunication System)?,To maintain low data rates and high latencies,To keep 3GPP's mobile communication systems obsolete,To deliver high data rates and low latencies over a long period,To exclusively focus on satellite services,C,"pdf3, CM Technology Overview 4G-5G (para 1305)"
CM Technology Overview - 4G/5G,What is the Evolved Packet Core (EPC) in LTE?,A replacement for the packet-switched domain of UMTS and GSM,A circuit-switched domain for voice calls,A component for satellite communication,A technology for low-latency applications,A,"pdf3, CM Technology Overview 4G-5G (para 1311)"
CM Technology Overview - 4G/5G,What is one of the features of LTE-Advanced?,Peak data rate of 50 Mbps in the downlink,Backward incompatibility with LTE,Spectral efficiency less than that of Release 6 WCDMA,Designed to be backward compatible with LTE,D,"pdf3, CM Technology Overview 4G-5G (para 1317)"
CM Technology Overview - 4G/5G,What is one of the main objectives of 3G systems?,Integration of wireless systems into a universal mobile telecommunication system,Expansion of 2G networks,Exclusively focusing on satellite services,Limited support for multiple terminals and service providers,A,"pdf3, CM Technology Overview 4G-5G (para 1323)"
CM Technology Overview - 4G/5G,What is the objective of the 4G Long-Term Evolution (LTE)?,To replace UMTS with a new technology,To deliver high data rates and low latencies for future users,To continue the use of GSM technology,To focus on satellite communication,B,"pdf3, CM Technology Overview 4G-5G (para 1329)"
CM Technology Overview - 4G/5G,What does LTE stand for in the context of 4G technology?,Long-Term Evolution,Low-Tech Enhancement,Localized Telecommunication Environment,Limited Transmission Efficiency,A,"pdf3, CM Technology Overview 4G-5G (para 1335)"
CM Technology Overview - 4G/5G,What is the Evolved Packet Core (EPC) in LTE?,The radio access network of LTE,A replacement for the packet switched domain of UMTS and GSM,An evolved form of EDGE technology,A specialized security protocol in LTE,B,"pdf3, CM Technology Overview 4G-5G (para 1341)"
CM Technology Overview - 4G/5G,What are some features of Long Term Evolution (LTE)?,Downlink peak data rate of 50 Mbps,Uplink data rate of 100 Mbps,Spectral efficiency of LTE similar to Release 6 WCDMA,Optimized for cell sizes up to 10 km,C,"pdf3, CM Technology Overview 4G-5G (para 1346)"
CDR Billing,What is the main objective of the CDR based convergent billing and customer care system implemented by BSNL?,"To replace old systems of Commercial, TRA, FRS, and DQ",To enhance fault repair services,To focus exclusively on landline services,"To provide convergent billing for landline, broadband, and leased line services",D,"pdf3, CDR Billing (para 1354)"
CDR Billing,What is the significance of the Customer Relationship Management (CRM) software in the implemented system?,It takes care of subscriber management,It integrates with order management and billing systems,It is used for fault repair services,It replaces the old billing systems,B,"pdf3, CDR Billing (para 1358)"
CDR Billing,How does the Web Self Care (WSC) module benefit customers in the implemented system?,It provides fault repair services,It replaces the CRM software,"It enables customers to access the system for requests, payments, and inquiries",It is used for subscriber management,C,"pdf3, CDR Billing (para 1364)"
CDR Billing,What is the role of the Mediation system in the implemented project?,Subscriber management,Fault repair services,Pulling CDRs generated for all calls,Integration with order management,C,"pdf3, CDR Billing (para 1370)"
CDR Billing,What advantage does the convergent billing system provide in the project?,It limits billing to specific zones,It integrates with legacy billing systems,It issues a single bill for customers taking any type of service from BSNL,It replaces the CRM software,C,"pdf3, CDR Billing (para 1376)"
CDR Billing,Which component of the software is responsible for managing customer requests and integrating with other systems such as order management and billing?,Mediation,Accounting,CRM (Customer Relationship Management),Web Self Care (WSC),C,"pdf3, CDR Billing (para 1382)"
CDR Billing,What is the purpose of the Disaster Recovery (DR) plan in the implemented project?,To improve network performance,To prevent disasters from occurring,"To handle events like flood, fire, or power shutdown",To manage fraud in the system,C,"pdf3, CDR Billing (para 1388)"
CDR Billing,How are the Data Centres configured for Disaster Recovery (DR) in this project?,Hyderabad is the DR site for Pune,Kolkata is the DR site for Pune,Pune is the DR site for Chandigarh,Hyderabad is the DR site for Kolkata,D,"pdf3, CDR Billing (para 1394)"
CDR Billing,What accounting method is used in the new system for revenue accounting?,Invoice based accounting,Balance brought forward accounting,Prepaid accounting,Postpaid accounting,B,"pdf3, CDR Billing (para 1400)"
CDR Billing,How is surcharge treated in the new system for late payment?,Fixed amount,Slab rate,Percentage of the outstanding,Monthly basis,C,"pdf3, CDR Billing (para 1406)"
CDR Billing,"In the context of CDR-based billing, what has been the migration regarding the basis of the tariff system?",From Minutes of Usage (MOU) to MCUs,From MCUs to Minutes of Usage (MOU),From Rupees per month to Free Talk Time,From Free Calls to Rupees per month,B,"pdf3, CDR Billing (para 1412)"
CDR Billing,How are discounts configured in the new system according to the provided information?,In terms of Free Calls,In terms of Free Talk Time (Minutes per month or Rupees per month),Based on the number of calls,Based on balance brought forward,B,"pdf3, CDR Billing (para 1418)"
CDR Billing,How is each Plan identified in the system?,Plan ID,Plan Name,Plan Code,Plan Number,C,"pdf3, CDR Billing (para 1424)"
CDR Billing,Who is authorized to configure new Plans as per business requirements in the CDR project?,SSAs,Circle Office team,Customers,Corporate Office,B,"pdf3, CDR Billing (para 1429)"
CDR Billing,What is the purpose of the Disaster Recovery (DR) plan in the implemented project?,To improve network performance,To prevent disasters from occurring,"To handle events like flood, fire, or power shutdown",To manage fraud in the system,C,"pdf3, CDR Billing (para 1435)"
CDR Billing,What is the key change in the billing system mentioned in the CDR project?,Migration from MPLS to VPN,Migration from Free Calls to Free Talk Time,Migration from E1 links to STM-1 links,Migration from MCUs and number of calls to MOU (Minutes of Usage) based system,D,"pdf3, CDR Billing (para 1441)"
CDR Billing,How are the Plans identified in the system according to the information provided?,By customer name,By a unique Plan Code,By the number of calls,By a unique serial number,B,"pdf3, CDR Billing (para 1447)"
CDR Billing,"What does the discipline in offering various Plans to customers help BSNL with, according to the text?",Fast data migration,Monitoring the launch of tariff Plans across the country,Reducing network latency,Enhancing call quality,B,"pdf3, CDR Billing (para 1452)"
CDR Billing,What is the purpose of the Disaster Recovery (DR) plan in the implemented project?,To improve network performance,To prevent disasters from occurring,"To handle events like flood, fire, or power shutdown",To manage fraud in the system,C,"pdf3, CDR Billing (para 1458)"
CDR Billing,What has the CDR project facilitated for both customers and BSNL staff according to the conclusion?,Migration to a new billing system,New channels of revenue collection,Handling fraud in the system,Introduction of a convergent billing system,B,"pdf3, CDR Billing (para 1464)"
ERP Project,What does ERP stand for?,Enterprise Resource Programming,Enterprise Resource Planning,Effective Resource Processing,Essential Resource Provision,B,"pdf3, ERP Project (para 1475)"
ERP Project,Which of the following is NOT a component covered by ERP systems?,Human Resources,Supply Chain Management,Marketing,Warehouse Management,C,"pdf3, ERP Project (para 1481)"
ERP Project,What is the main goal of ERP systems?,Isolate data and processes,Create independent databases,Integrate data and processes from all areas of an organization,Implement stand-alone software applications,C,"pdf3, ERP Project (para 1487)"
ERP Project,Which of the following is a benefit of using ERP?,Increased system incompatibility,Isolation of departments,Decreased productivity,Increased productivity and less types of software,D,"pdf3, ERP Project (para 1493)"
ERP Project,What is the main objective of ERP integration?,Isolation of data,Creating separate databases for each department,Integration of data and processes from all areas of an organization,Ensuring system incompatibility,C,"pdf3, ERP Project (para 1499)"
ERP Project,What does MIS stand for in the context of ERP?,Management Information System,Manufacturing Integration System,Marketing Information Software,Module Integration System,A,"pdf3, ERP Project (para 1505)"
ERP Project,"In ERP, how are transactions treated compared to traditional application systems?",Separately as stand-alone activities,As inter-linked processes,Confined to departmental boundaries,Stored in independent databases,B,"pdf3, ERP Project (para 1511)"
ERP Project,Which of the following is a key partner for the ERP project in BSNL?,Microsoft,HCL Infosystem,Google,Apple,B,"pdf3, ERP Project (para 1517)"
ERP Project,What is the primary ERP site for BSNL?,Kolkata,ALTTC Ghaziabad,Hyderabad,CDR Data Centre,C,"pdf3, ERP Project (para 1523)"
ERP Project,Which module is NOT implemented in the ERP for BSNL?,Project System (PS) module,Real Estate Management (REM) module,Marketing and Sales (MS) module,Human Capital Management (HCM) module,C,"pdf3, ERP Project (para 1529)"
ERP Project,What is the purpose of a Controlling Area in BSNL ERP?,To manage inventory,To represent a legal entity,For procurement purposes,For management accounting purposes,D,"pdf3, ERP Project (para 1538)"
ERP Project,Which organizational unit is the smallest for complete independent accounting in BSNL ERP?,Business Area,Profit / Cost Centres,Company Code,Maintenance Planning Plant,C,"pdf3, ERP Project (para 1544)"
ERP Project,What does a Business Area represent in BSNL ERP?,A location where inventory is stored,An area of operations or responsibilities,A manufacturing facility,A sales organization,B,"pdf3, ERP Project (para 1550)"
ERP Project,What is the purpose of Profit / Cost Centres in BSNL ERP?,Legal entity representation,Management-oriented structure for internal control,Procurement responsibilities,Manufacturing facilities,B,"pdf3, ERP Project (para 1556)"
ERP Project,What is a Planning Plant responsible for in BSNL ERP?,Negotiating pricing and delivery terms,Inventory storage,Maintenance planning for a Maintenance Plant,Sales organization planning,C,"pdf3, ERP Project (para 1562)"
ERP Project,Which organizational unit is responsible for procurement in BSNL ERP?,Purchasing Group,Sales Organization,Purchasing Organization,Sales Division,C,"pdf3, ERP Project (para 1568)"
ERP Project,What does a Sales Organization represent in BSNL ERP?,A selling unit in the legal sense,A means of forming coherent groupings of real estate objects,An organizational unit for management accounting,A distribution channel,A,"pdf3, ERP Project (para 1574)"
ERP Project,Which organizational unit is responsible for personnel administration in BSNL ERP?,Business Entity,Personnel Area,Personnel Sub Area,Sales Division,B,"pdf3, ERP Project (para 1580)"
ERP Project,What is the purpose of a Distribution Channel in BSNL ERP?,Inventory storage,Negotiating pricing and delivery terms,Representing a selling unit,Means of distributing goods,D,"pdf3, ERP Project (para 1586)"
ERP Project,Which unit represents a sub-division of the Personnel Area in BSNL ERP?,Business Entity,Controlling Area,Personnel Sub Area,Purchasing Organization,C,"pdf3, ERP Project (para 1592)"
ERP Project,Which component of the SAP window is used to enter transaction codes directly?,Menu Bar,Standard Toolbar,Command Field,Status Bar,C,"pdf3, ERP Project (para 1599)"
ERP Project,What is the purpose of the Standard Toolbar in SAP ERP?,To display transaction codes,To enter system tasks,To provide navigation options,To integrate data and processes,C,"pdf3, ERP Project (para 1605)"
ERP Project,What does the /n prefix before a transaction code in the Command field indicate?,Open the next screen in the current session,Open a new session for the transaction,Start a new transaction,Close the current session,A,"pdf3, ERP Project (para 1611)"
ERP Project,How can you open an application in the navigation area in SAP ERP?,Single-click on its node,Right-click and select Open,Press F2,Double-click its node,D,"pdf3, ERP Project (para 1617)"
ERP Project,"What does a message starting with ""W"" indicate in SAP ERP?",Error message,Warning message,Information message,Required field message,B,"pdf3, ERP Project (para 1623)"
ERP Project,Where do messages appear in SAP ERP?,Title Bar,Status Bar,Command Field,Application Toolbar,B,"pdf3, ERP Project (para 1629)"
ERP Project,How can you start a transaction in SAP ERP using the tree structure?,Single-click on the transaction,Right-click and select Execute,Press Enter,All of the above,D,"pdf3, ERP Project (para 1635)"
ERP Project,What does the Business Workplace in SAP ERP allow you to do?,Enter transaction codes,Send messages,Execute system tasks,Access the Standard Toolbar,B,"pdf3, ERP Project (para 1641)"
ERP Project,Which component of the SAP window is used to integrate the data and processes of an organization?,Menu Bar,Application Toolbar,Command Field,Status Bar,B,"pdf3, ERP Project (para 1647)"
ERP Project,"What is the main purpose of the ERP system, as mentioned in the conclusion section?",Provide real-time data inputs,Ensure data safety in electronic form,Bring efficiency in the working of the organization,All of the above,D,"pdf3, ERP Project (para 1653)"
